Category,Sub-Category,Bitmask,Gene,Comment,Subjective,Can be derived without analyzing reviews,Directly derivable from Expedia data (Y/N),Gene Code,Key,Attribute,Function,,
GENERAL,Star Rating,0,1 Star Rating,,No,Yes,Y,1_Star_Rating,hotelRating == 1,hotel_main,compare,,
GENERAL,Star Rating,1,1.5 Star Rating,,No,Yes,Y,1_5_Star_Rating,hotelRating == 1.5,hotel_main,compare,,
GENERAL,Star Rating,2,2 Star Rating,,No,Yes,Y,2_Star_Rating,hotelRating == 2,hotel_main,compare,,
GENERAL,Star Rating,3,2.5 Star Rating,,No,Yes,Y,1_Star_Rating,hotelRating == 2.5,hotel_main,compare,,
GENERAL,Star Rating,4,3 Star Rating,,No,Yes,Y,3_Star_Rating,hotelRating == 3,hotel_main,compare,,
GENERAL,Star Rating,5,3.5 Star Rating,,No,Yes,Y,1_Star_Rating,hotelRating == 3.5,hotel_main,compare,,
GENERAL,Star Rating,6,4 Star Rating,,No,Yes,Y,4_Star_Rating,hotelRating == 4,hotel_main,compare,,
GENERAL,Star Rating,7,4.5 Star Rating,,No,Yes,Y,1_Star_Rating,hotelRating == 4.5,hotel_main,compare,,
GENERAL,Star Rating,8,5 Star Rating,,No,Yes,Y,5_Star_Rating,hotelRating == 5,hotel_main,compare,,
GENERAL,Star Rating,9,No star Rating,,No,Yes,Y,No_star_Rating,hotelRating == 0,hotel_main,compare,,
HOTEL AMENITIES,Accessability,10,Pets Allowed,,No,Yes,Y,Pets_Allowed,Pets accepted OR Pets accepted Dogs Only OR Pet policy 20 Lbs. and Under OR Pet policy Cats and Dogs Only OR Pets considered,hotel_amenity,"match(""pet"")",,
HOTEL AMENITIES,Accessability,11,Senior friendly,,Yes,No,,Senior_friendly,,,,,
HOTEL AMENITIES,Accessability,12,Wheelchair Access,,Yes,No,Y,Wheelchair_Access,Wheelchair accessible OR Wheelchair Accessible,hotel_amenity,"match(""wheelchair"")",,
HOTEL AMENITIES,Accessibility,13,Accessible path of travel,,No,Maybe,Y,Accessible_path_of_travel,Accessible path of travel,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Age of Property,14,Heritage property (> 80 years),To derive from year built,,,,Heritage_property_80_years_,,,,,
HOTEL AMENITIES,Age of Property,15,New property (< 10 years),To derive from year built,,,,New_property_10_years_,,,,,
HOTEL AMENITIES,Age of Property,16,Number of rooms: 103,,Yes,No,,Number_of_rooms_103,,,,,
HOTEL AMENITIES,Age of Property,17,Number of spa tubs 4             ,,Yes,No,,Number_of_spa_tubs_4,,,,,
HOTEL AMENITIES,Age of Property,18,Old property (80-30 years),To derive from year built,,,,Old_property_80_30_years_,,,,,
HOTEL AMENITIES,Age of Property,19,Older property (10-30 years),To derive from year built,,,,Older_property_10_30_years_,,,,,
HOTEL AMENITIES,Age of Property,20,Year Built,,,,,,,,,,
HOTEL AMENITIES,Health & Wellness,21,Full-service health spa                    ,,No,Yes,Y,Full_service_health_spa,Full-Service Health Spa,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Health & Wellness,22,Health Club  Present           ,,No,Yes,Y,Health_Club_Present,Health Club,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Health & Wellness,23,Health ClubOpen 24 hours,,No,Yes,,Health_ClubOpen_24_hours,,,,,
HOTEL AMENITIES,Health & Wellness,24,Massage - available in room ,,No,Yes,,Massage_available_in_room,,,,,
HOTEL AMENITIES,Health & Wellness,25,Massage - spa treatment room(s) ,,No,Yes,Y,Massage_spa_treatment_room_s_,Massage - spa treatment room(s) OR Massage - treatment room(s),hotel_amenity,"match(""massage"")",,
HOTEL AMENITIES,Health & Wellness,26,Medical Assistance Available                    ,,No,Yes,Y,Medical_Assistance_Available,Medical assistance available OR On-site medical assistance available,hotel_amenity,"match(""medical assistance"")",,
HOTEL AMENITIES,Health & Wellness,27,On-site medical assistance available ,,No,Yes,Y,On_site_medical_assistance_available,On-site medical assistance available,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Health & Wellness,28,Spa,,No,Yes,Y,Spa,Spa services on site OR Full-service health spa,hotel_amenity,"match(""spa"")",,
HOTEL AMENITIES,Health & Wellness,29,Spa tub ,,No,Yes,Y,Spa_tub,Number of spa tubs OR Spa tub OR Spa Tub,hotel_amenity,"match(""spa tub"")",,
HOTEL AMENITIES,Health & Wellness,30,Spa tub (outdoor),,No,Yes,Y,Spa_tub_outdoor_,Spa tub (outdoor),hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Kids,31,Babysitting - Any bad experiences?,,Yes,No,N,Babysitting_Any_bad_experiences_,,,,,
HOTEL AMENITIES,Kids,32,Babysitting or child care                    ,,No,Yes,Y,Babysitting_or_child_care,Babysitting or childcare OR Babysitting or child care OR Babysitting or childcare (surcharge) OR Babysitting or childcare (free),hotel_amenity,"match(""babysitting"")",,
HOTEL AMENITIES,Kids,33,Babysitting or childcare (free) ,,No,Yes,Y,Babysitting_or_childcare_free_,Babysitting or childcare (free),hotel_amenity,"match(""babysitting childcare free"")",,
HOTEL AMENITIES,Kids,34,Children's club ,,No,Yes,Y,Children_s_club,Children's club ,hotel_amenity,"match(""children's club"")",,
HOTEL AMENITIES,Kids,35,Children's club (surcharge) ,,No,Yes,Y,Children_s_club_surcharge_,Children's club (surcharge) ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Kids,36,Childrens club (free) ,,No,Yes,Y,Childrens_club_free_,Childrens club (free) ,hotel_amenity,"match(""..."")",,
HOTEL AMENITIES,Kids,37,Creche (nursery) ,,No,Yes,Y,Creche_nursery_,Creche (nursery),hotel_amenity,"match(""creche"")",,
